uid,region_city_group,region_city_group_no,region_city,age_group,age,visit_days,total_duration_min,avg_duration_min,total_payment_may,retained_june,retained_july,retained_august,retained_90
11,Seoul,1,Seoul,Twenties,23,1,301,301,13000,0,1,1,1
705,Gyeonggi-do,2,Yongin,Twenties,27,5,908,182,39000,0,0,0,0
1033,Seoul,1,Seoul,Teens,19,1,289,289,5900,0,0,0,0
1754,Chungcheongnam-do,3,Cheonan,Thirties,38,5,1578,316,45000,0,0,1,1
1958,Gyeonggi-do,2,Ansan,Twenties,22,1,119,119,5000,0,1,0,1
2645,Gyeonggi-do,2,Seongnam,Twenties,20,2,401,201,436000,1,1,1,1
3253,Gyeonggi-do,2,Seongnam,Teens,10,7,1316,188,57000,0,0,0,0
3354,Gyeonggi-do,2,Seongnam,Teens,19,1,71,71,3000,0,0,0,0
3388,Gyeonggi-do,2,Seongnam,Thirties,33,1,253,253,11000,0,1,0,1
3562,Gyeonggi-do,2,Ansan,Thirties,30,21,8224,392,120000,0,0,0,0
3582,Gyeonggi-do,2,Seongnam,Thirties,38,1,126,126,3000,0,0,0,0
3686,Gyeonggi-do,2,Seongnam,Twenties,27,1,138,138,6000,0,0,0,0
3850,Gyeonggi-do,2,Seongnam,Forties+,43,1,194,194,8500,1,0,0,1
3892,Gyeonggi-do,2,Seongnam,Thirties,32,5,655,131,28500,1,0,0,1
4378,Gyeonggi-do,2,Seongnam,Teens,12,1,419,419,18000,0,0,0,0
4549,Gyeonggi-do,2,Seongnam,Teens,19,2,209,105,9000,0,0,0,0
4683,Gyeonggi-do,2,Seongnam,Teens,19,1,68,68,3000,0,0,0,0
4728,Seoul,1,Seoul,Teens,11,2,391,196,17000,0,0,0,0
4949,Daegu,11,Daegu,Twenties,26,28,7670,274,130000,1,1,1,1
5053,Gyeonggi-do,2,Seongnam,Twenties,24,3,859,286,30000,1,1,0,1
5156,Gyeonggi-do,2,Seongnam,Twenties,24,12,4675,390,168000,0,0,1,1
5464,Gangwon-do,9,Donghae,Forties+,59,1,115,115,3500,0,0,0,0
5542,Jeollabuk-do,5,Jeonju,Twenties,22,3,868,289,37500,0,0,0,0
5660,Gyeonggi-do,2,Seongnam,Twenties,24,1,238,238,10500,0,0,0,0
5714,Seoul,1,Seoul,Forties+,44,1,867,867,14000,0,0,0,0
5924,Gyeongsangbuk-do,7,Gyeongsan,Twenties,22,9,3105,345,134000,0,0,0,0
6188,Gyeonggi-do,2,Seongnam,Thirties,31,1,154,154,4500,0,0,0,0
6253,Seoul,1,Seoul,Forties+,57,1,404,404,17500,0,0,0,0
6315,Seoul,1,Seoul,Twenties,21,14,8007,572,3000,1,0,0,1
